I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
14, -4, -19, -4, 17, -12, 24, 29, 14, 29, 29, -4, 
14, 0, -14, -7, 14, -7, 24, 29, 14, 29, 29, -9, 
14, 0, -14, -7, 14, -7, 34, 29, 14, 34, 34, -9, 
4, 9, 4, -7, 0, 7, 34, 24, 29, 39, 43, -14, 
4, 9, 4, -7, 0, 7, 39, 29, 34, 39, 43, -14, 
4, 14, 9, -9, -2, 12, 48, 34, 39, 39, 43, -9, 
9, 19, 9, -14, 0, 14, 53, 39, 43, 48, 48, -4, 
9, 14, 4, -12, 2, 9, 63, 48, 43, 48, 43, -4, 
14, 19, 4, -17, 4, 12, 58, 48, 43, 48, 43, -9, 
19, 24, 4, -21, 7, 14, 53, 43, 43, 48, 39, -9, 
19, 29, 9, -24, 4, 19, 43, 39, 53, 48, 34, -4, 
34, 34, 0, -34, 17, 17, 39, 34, 53, 43, 34, -9, 
34, 43, 9, -39, 12, 26, 29, 34, 53, 48, 34, -9, 
34, 48, 14, -41, 9, 31, 29, 29, 53, 48, 34, -14, 
34, 48, 14, -41, 9, 31, 24, 24, 53, 48, 34, -14, 
24, 48, 24, -36, 0, 36, 24, 29, 58, 53, 39, 0, 
34, 63, 29, -48, 2, 46, 14, 19, 58, 53, 43, 0, 
39, 68, 29, -53, 4, 48, 0, 0, 53, 58, 43, 0, 
39, 68, 29, -53, 4, 48, -19, -14, 39, 48, 43, -9, 
43, 78, 34, -61, 4, 56, -48, -39, 34, 48, 43, -4, 
48, 73, 24, -61, 12, 48, -68, -53, 14, 39, 39, -9, 
53, 73, 19, -63, 17, 46, -78, -63, 4, 29, 34, -9, 
53, 78, 24, -65, 14, 51, -87, -73, -4, 19, 24, -14, 
58, 78, 19, -68, 19, 48, -102, -82, -19, 4, 9, -19, 
58, 78, 19, -68, 19, 48, -97, -87, -24, 0, 4, -24, 
58, 78, 19, -68, 19, 48, -97, -92, -29, -4, 4, -24, 
63, 78, 14, -70, 24, 46, -87, -82, -34, -14, 4, -24, 
78, 82, 4, -80, 36, 43, -92, -92, -43, -24, 4, -34, 
82, 82, 0, -82, 41, 41, -87, -92, -48, -24, 4, -34, 
82, 73, -9, -78, 46, 31, -82, -82, -48, -24, 4, -34, 
73, 68, -4, -70, 39, 31, -73, -82, -43, -24, 0, -34, 
58, 68, 9, -63, 24, 39, -58, -68, -34, -14, 0, -24, 
